date,cpi_mom_index,monthly_factor,price_index,inflation_yoy
2011-08-01,99.6,0.996,361.72286752073325,8.886384613090037
2011-09-01,100.1,1.001,362.08459038825396,5.923489793686221
2011-10-01,100.0,1.0,362.08459038825396,5.396507257399241
2011-11-01,100.1,1.001,362.4466749786422,5.186344730465242
2011-12-01,100.2,1.002,363.17156832859945,4.560235535641044
2012-01-01,100.2,1.002,363.89791146525664,3.732035650210208
2012-02-01,100.2,1.002,364.62570728818713,3.0123882274634584
2012-03-01,100.3,1.003,365.71958441005165,1.8948968364357333
2012-04-01,100.0,1.0,365.71958441005165,0.5872624249118719
2012-05-01,99.7,0.997,364.6224256568215,-0.510416034090122
2012-06-01,99.7,0.997,363.52855837985106,-1.2040685119400818
2012-07-01,99.8,0.998,362.8015012630914,-0.10299936668307641
2012-08-01,99.7,0.997,361.71309675930206,-0.002701173276142832
2012-09-01,100.1,1.001,362.07480985606134,-0.002701173276153934
2012-10-01,100.0,1.0,362.07480985606134,-0.002701173276153934
2012-11-01,99.9,0.9990000000000001,361.7127350462053,-0.20249597612673753
2012-12-01,100.2,1.002,362.4361605162977,-0.20249597612672643
2013-01-01,100.2,1.002,363.16103283733037,-0.20249597612670422
2013-02-01,99.9,0.9990000000000001,362.797871804493,-0.5012908983538678
2013-03-01,100.0,1.0,362.797871804493,-0.7988942157067469
2013-04-01,100.0,1.0,362.797871804493,-0.7988942157067469
2013-05-01,100.1,1.001,363.1606696762975,-0.4008957973143934
2013-06-01,100.0,1.0,363.1606696762975,-0.10119939550089496
2013-07-01,99.9,0.9990000000000001,362.7975090066212,-0.0011003968992007174
2013-08-01,99.3,0.993,360.2579264435749,-0.40229959289959094
2013-09-01,100.0,1.0,360.2579264435749,-0.501797795104475
2013-10-01,100.4,1.004,361.6989581493492,-0.10380498628489443
2013-11-01,100.2,1.002,362.4223560656479,0.19618358732984564
2013-12-01,100.5,1.005,364.2344678459761,0.4961721609445968
2014-01-01,100.2,1.002,364.962936781668,0.4961721609445746
2014-02-01,100.6,1.006,367.152714402358,1.200349543453716
2014-03-01,102.2,1.022,375.2300741192099,3.426757233409705
2014-04-01,103.3,1.033,387.6126665651438,6.8398402221122145
2014-05-01,103.8,1.038,402.34194789461924,10.788965185367093
2014-06-01,101.0,1.01,406.36536737356545,11.896854837220761
2014-07-01,100.4,1.004,407.9908288430597,12.456899155725365
2014-08-01,100.8,1.008,411.2547554738042,14.155643855962929
2014-09-01,102.9,1.0290000000000001,423.18114338254463,17.466157527785864
2014-10-01,102.4,1.024,433.3374908237257,19.806120825152117
2014-11-01,101.9,1.0190000000000001,441.57090314937653,21.838759601626776
2014-12-01,103.0,1.03,454.81803024385783,24.869574517090133
2015-01-01,103.1,1.031,468.9173891814174,28.48356419872249
2015-02-01,105.3,1.053,493.77001080803245,34.486275448563376
2015-03-01,110.8,1.1079999999999999,547.0971719753,45.80312445891215
2015-04-01,114.0,1.14,623.6907760518418,60.90567462067749
2015-05-01,102.2,1.022,637.4119731249824,58.42543300802738
2015-06-01,100.4,1.004,639.9616210174823,57.48429182184107
2015-07-01,99.0,0.99,633.5620048073075,55.2882957207397
2015-08-01,99.2,0.992,628.493508768849,52.82340213787078
2015-09-01,102.3,1.023,642.9488594705325,51.93230358313099
2015-10-01,98.7,0.987,634.5905242974155,46.442562145068614
2015-11-01,102.0,1.02,647.2823347833639,46.586274178577035
2015-12-01,100.7,1.0070000000000001,651.8133111268475,43.3129884444923
2016-01-01,100.9,1.0090000000000001,657.6796309269893,40.254903337044404
2016-02-01,99.6,0.996,655.0489124032812,32.66275757236108
2016-03-01,101.0,1.01,661.5994015273141,20.92904796758548
2016-04-01,103.5,1.035,684.7553805807701,9.790846181097358
2016-05-01,100.1,1.001,685.4401359613507,7.5348698897049315
2016-06-01,99.8,0.998,684.069255689428,6.8922312250254025
2016-07-01,99.9,0.9990000000000001,683.3851864337387,7.863978781616554
2016-08-01,99.7,0.997,681.3350308744375,8.407648029507797
2016-09-01,101.8,1.018,693.5990614301774,7.877796377359658
2016-10-01,102.8,1.028,713.0198351502223,12.359042224848782
2016-11-01,101.8,1.018,725.8541921829262,12.138730377349049
2016-12-01,100.9,1.0090000000000001,732.3868799125728,12.361448809081654
2017-01-01,101.1,1.011,740.4431355916109,12.584167240814171
2017-02-01,101.0,1.01,747.8475669475271,14.166675615685076
2017-03-01,101.8,1.018,761.3088231525826,15.070966115611274
2017-04-01,100.9,1.0090000000000001,768.1606025609559,12.180294503045207
2017-05-01,101.3,1.013,778.1466903942483,13.525113218366446
2017-06-01,101.6,1.016,790.5970374405563,15.57266035056144
2017-07-01,100.2,1.002,792.1782315154373,15.919725396659201
2017-08-01,99.9,0.9990000000000001,791.386053283922,16.152262458638454
2017-09-01,102.0,1.02,807.2137743496006,16.38045943792854
2017-10-01,101.2,1.012,816.9003396417958,14.569090419439368
2017-11-01,100.9,1.0090000000000001,824.252442698572,13.556200622018032
